Sim: 5
ID: 0
Description: Finite volume test case for new fast chemsitry method
Variables: 25
time vel_x Ma p T rho u massf_H2 massf_O2 massf_OH massf_H2O massf_H massf_O conc_H2 conc_O2 conc_OH conc_H2O conc_H conc_O molef_H2 molef_O2 molef_OH molef_H2O molef_H molef_O
0.000035000 0.000000000 0.000000000 1644011.611267569 6865.930474978 0.515752363 5222328.277276522 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000036000 0.000000000 0.000000000 1644011.611267569 6865.930474978 0.515752363 5222328.277276526 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000037000 0.000000000 0.000000000 1644011.611267569 6865.930474978 0.515752363 5222328.277276525 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000038000 0.000000000 0.000000000 1644011.611267569 6865.930474978 0.515752363 5222328.277276527 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000039000 0.000000000 0.000000000 1644011.611267569 6865.930474978 0.515752363 5222328.277276524 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000040000 0.000000000 0.000000000 1644011.611267570 6865.930474978 0.515752363 5222328.277276518 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000041000 0.000000000 0.000000000 1644011.611267566 6865.930474978 0.515752363 5222328.277276553 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000042000 0.000000000 0.000000000 1644011.611267568 6865.930474978 0.515752363 5222328.277276517 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000043000 0.000000000 0.000000000 1644011.611267569 6865.930474978 0.515752363 5222328.277276512 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000044000 0.000000000 0.000000000 1644011.611267568 6865.930474978 0.515752363 5222328.277276531 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000045000 0.000000000 0.000000000 1644011.611267569 6865.930474978 0.515752363 5222328.277276502 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000046000 0.000000000 0.000000000 1644011.611267567 6865.930474978 0.515752363 5222328.277276535 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000047000 0.000000000 0.000000000 1644011.611267569 6865.930474978 0.515752363 5222328.277276503 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000048000 0.000000000 0.000000000 1644011.611267568 6865.930474978 0.515752363 5222328.277276528 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000049000 0.000000000 0.000000000 1644011.611267568 6865.930474978 0.515752363 5222328.277276526 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000050000 0.000000000 0.000000000 1644011.611267567 6865.930474978 0.515752363 5222328.277276536 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000051000 0.000000000 0.000000000 1644011.611267567 6865.930474978 0.515752363 5222328.277276536 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000052000 0.000000000 0.000000000 1644011.611267568 6865.930474978 0.515752363 5222328.277276528 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000053000 0.000000000 0.000000000 1644011.611267568 6865.930474978 0.515752363 5222328.277276527 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000054000 0.000000000 0.000000000 1644011.611267568 6865.930474978 0.515752363 5222328.277276527 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000055000 0.000000000 0.000000000 1644011.611267568 6865.930474978 0.515752363 5222328.277276528 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000056000 0.000000000 0.000000000 1644011.611267568 6865.930474978 0.515752363 5222328.277276525 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000057000 0.000000000 0.000000000 1644011.611267568 6865.930474978 0.515752363 5222328.277276527 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000058000 0.000000000 0.000000000 1644011.611267568 6865.930474978 0.515752363 5222328.277276528 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000059000 0.000000000 0.000000000 1644011.611267567 6865.930474978 0.515752363 5222328.277276542 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000060000 0.000000000 0.000000000 1644011.611267567 6865.930474978 0.515752363 5222328.277276506 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000061000 0.000000000 0.000000000 1644011.611267569 6865.930474979 0.515752363 5222328.277276504 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000062000 0.000000000 0.000000000 1644011.611267567 6865.930474979 0.515752363 5222328.277276526 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000063000 0.000000000 0.000000000 1644011.611267567 6865.930474979 0.515752363 5222328.277276522 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000064000 0.000000000 0.000000000 1644011.611267567 6865.930474979 0.515752363 5222328.277276525 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000065000 0.000000000 0.000000000 1644011.611267567 6865.930474979 0.515752363 5222328.277276513 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000066000 0.000000000 0.000000000 1644011.611267567 6865.930474979 0.515752363 5222328.277276527 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000067000 0.000000000 0.000000000 1644011.611267567 6865.930474979 0.515752363 5222328.277276518 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000068000 0.000000000 0.000000000 1644011.611267567 6865.930474979 0.515752363 5222328.277276535 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000069000 0.000000000 0.000000000 1644011.611267568 6865.930474979 0.515752363 5222328.277276526 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000070000 0.000000000 0.000000000 1644011.611267568 6865.930474979 0.515752363 5222328.277276522 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000071000 0.000000000 0.000000000 1644011.611267569 6865.930474979 0.515752363 5222328.277276521 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000072000 0.000000000 0.000000000 1644011.611267568 6865.930474979 0.515752363 5222328.277276520 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
0.000073000 0.000000000 0.000000000 1644011.611267568 6865.930474979 0.515752363 5222328.277276526 0.005089942 0.113056673 0.064591239 0.808622451 0.000598545 0.008041150 1.302234934 1.822232277 1.958747465 23.149733975 0.306269468 0.259212353 0.045218955 0.063275402 0.068015771 0.803854016 0.010634936 0.009000919 
